"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Santa Isabel";"2017";"2468";"2290";"178";"7019";"2455";"4062";"502";"2450";"2327";"-";"123";"270";"104";"157";"9";3546801
"Santa Isabel";"2018";"2485";"2319";"166";"6993";"2608";"3938";"447";"2083";"1990";"";"93";"226";"107";"110";"9";3546801
"Santa Lúcia";"2014";"365";"365";"-";"992";"455";"537";"-";"358";"358";"-";"-";"-";"-";"-";"-";3546900
"Santa Lúcia";"2015";"363";"363";"-";"900";"392";"508";"-";"313";"313";"-";"-";"39";"22";"17";"-";3546900
"Santa Lúcia";"2016";"366";"366";"-";"838";"318";"520";"-";"329";"329";"-";"-";"42";"21";"21";"-";3546900
"Santa Lúcia";"2017";"317";"317";"-";"819";"297";"522";"-";"276";"276";"-";"-";"46";"22";"24";"-";3546900
"Santa Lúcia";"2018";"377";"377";"";"812";"322";"490";"";"250";"250";"";"";"42";"23";"19";"";3546900
"Santa Maria da Serra";"2014";"237";"155";"82";"812";"330";"482";"-";"251";"251";"-";"-";"-";"-";"-";"-";3547007
"Santa Maria da Serra";"2015";"334";"187";"147";"774";"299";"475";"-";"258";"258";"-";"-";"20";"8";"11";"1";3547007
"Santa Maria da Serra";"2016";"304";"276";"28";"756";"324";"432";"-";"255";"255";"-";"-";"18";"5";"13";"-";3547007
"Santa Maria da Serra";"2017";"283";"283";"-";"739";"320";"419";"-";"204";"204";"-";"-";"20";"6";"14";"-";3547007
"Santa Maria da Serra";"2018";"283";"283";"-";"747";"337";"410";"";"170";"170";"";"";"21";"9";"12";"-";3547007
"Santa Mercedes";"2014";"150";"150";"-";"414";"188";"226";"-";"121";"121";"-";"-";"-";"-";"-";"-";3547106
"Santa Mercedes";"2015";"144";"144";"-";"411";"181";"230";"-";"87";"87";"-";"-";"7";"4";"3";"-";3547106
"Santa Mercedes";"2016";"169";"169";"-";"398";"166";"232";"-";"112";"112";"-";"-";"13";"4";"9";"-";3547106
"Santa Mercedes";"2017";"169";"169";"-";"381";"178";"203";"-";"122";"122";"-";"-";"14";"6";"8";"-";3547106
"Santa Mercedes";"2018";"174";"174";"";"361";"157";"204";"";"120";"120";"";"";"13";"6";"7";"";3547106
"Santa Rita d'Oeste";"2014";"122";"122";"-";"244";"128";"116";"-";"97";"97";"-";"-";"-";"-";"-";"-";3547403
"Santa Rita d'Oeste";"2015";"104";"104";"-";"243";"124";"119";"-";"101";"101";"-";"-";"6";"3";"3";"-";3547403
"Santa Rita d'Oeste";"2016";"113";"113";"-";"243";"127";"116";"-";"92";"92";"-";"-";"7";"5";"2";"-";3547403
"Santa Rita d'Oeste";"2017";"128";"128";"-";"224";"100";"124";"-";"102";"102";"-";"-";"5";"4";"1";"-";3547403
"Santa Rita d'Oeste";"2018";"128";"128";"";"238";"109";"129";"";"88";"88";"";"";"6";"6";"-";"";3547403
"Santa Rita do Passa Quatro";"2014";"882";"686";"196";"2825";"729";"1319";"777";"800";"534";"-";"266";"96";"-";"-";"96";3547502
"Santa Rita do Passa Quatro";"2015";"981";"797";"184";"2814";"707";"1245";"862";"812";"549";"-";"263";"259";"12";"136";"111";3547502
"Santa Rita do Passa Quatro";"2016";"1146";"956";"190";"2762";"680";"1230";"852";"820";"605";"-";"215";"233";"18";"105";"110";3547502
"Santa Rita do Passa Quatro";"2017";"985";"798";"187";"2739";"664";"1232";"843";"811";"620";"-";"191";"224";"38";"86";"100";3547502
"Santa Rita do Passa Quatro";"2018";"1028";"856";"172";"2588";"663";"1200";"725";"772";"575";"";"197";"172";"62";"68";"42";3547502
"Santa Rosa de Viterbo";"2014";"1070";"786";"284";"2848";"1101";"1356";"391";"1097";"926";"-";"171";"91";"-";"10";"81";3547601
"Santa Rosa de Viterbo";"2015";"1034";"757";"277";"2781";"1042";"1332";"407";"1046";"897";"-";"149";"118";"15";"24";"79";3547601
"Santa Rosa de Viterbo";"2016";"1210";"924";"286";"2715";"967";"1359";"389";"1000";"876";"-";"124";"115";"11";"27";"77";3547601
"Santa Rosa de Viterbo";"2017";"1072";"788";"284";"2735";"942";"1354";"439";"971";"870";"-";"101";"136";"22";"26";"88";3547601
"Santa Rosa de Viterbo";"2018";"1041";"743";"298";"2772";"1011";"1300";"461";"880";"798";"";"82";"143";"26";"32";"85";3547601
"Santa Salete";"2014";"85";"85";"-";"182";"174";"8";"-";"70";"70";"-";"-";"-";"-";"-";"-";3547650
"Santa Salete";"2015";"94";"94";"-";"173";"153";"20";"-";"64";"64";"-";"-";"8";"7";"1";"-";3547650
"Santa Salete";"2016";"84";"84";"-";"201";"182";"19";"-";"61";"61";"-";"-";"6";"5";"1";"-";3547650
"Santa Salete";"2017";"84";"84";"-";"225";"202";"23";"-";"60";"60";"-";"-";"7";"7";"-";"-";3547650
"Santa Salete";"2018";"81";"81";"";"255";"230";"25";"";"57";"57";"";"";"10";"10";"-";"";3547650
"Santana da Ponte Pensa";"2014";"53";"53";"-";"137";"125";"12";"-";"58";"58";"-";"-";"-";"-";"-";"-";3547205
"Santana da Ponte Pensa";"2015";"65";"65";"-";"129";"120";"9";"-";"76";"76";"-";"-";"3";"3";"-";"-";3547205
"Santana da Ponte Pensa";"2016";"64";"64";"-";"125";"105";"20";"-";"45";"45";"-";"-";"1";"1";"-";"-";3547205
"Santana da Ponte Pensa";"2017";"65";"65";"-";"128";"112";"16";"-";"46";"46";"-";"-";"1";"1";"-";"-";3547205
"Santana da Ponte Pensa";"2018";"72";"72";"";"135";"122";"13";"";"41";"41";"";"";"1";"1";"";"";3547205
"Santana de Parnaíba";"2014";"7678";"6004";"1674";"21050";"-";"17527";"3523";"6333";"294";"5202";"837";"94";"-";"76";"18";3547304
"Santana de Parnaíba";"2015";"8063";"6357";"1706";"21170";"-";"17538";"3632";"6443";"424";"5156";"863";"418";"1";"362";"55";3547304
"Santana de Parnaíba";"2016";"8397";"6647";"1750";"21272";"-";"17603";"3669";"6608";"548";"5218";"842";"440";"-";"382";"58";3547304
"Santana de Parnaíba";"2017";"8717";"6912";"1805";"21036";"-";"17390";"3646";"6471";"585";"5021";"865";"440";"1";"388";"51";3547304
"Santana de Parnaíba";"2018";"8333";"6759";"1574";"21386";"";"17565";"3821";"6349";"588";"4869";"892";"449";"4";"399";"46";3547304
"Santo Anastácio";"2014";"712";"481";"231";"2172";"736";"679";"757";"833";"618";"-";"215";"138";"-";"-";"138";3547700
"Santo Anastácio";"2015";"731";"471";"260";"2221";"621";"663";"937";"851";"631";"-";"220";"227";"51";"24";"152";3547700
"Santo Anastácio";"2016";"734";"517";"217";"2230";"582";"712";"936";"787";"582";"-";"205";"216";"66";"12";"138";3547700
"Santo Anastácio";"2017";"644";"452";"192";"2228";"587";"761";"880";"691";"498";"-";"193";"194";"57";"10";"127";3547700
"Santo Anastácio";"2018";"781";"500";"281";"2140";"516";"757";"867";"641";"455";"";"186";"190";"55";"6";"129";3547700
"Santo André";"2014";"28993";"14392";"14601";"83445";"40274";"17775";"25396";"31385";"23412";"-";"7973";"255";"-";"-";"255";3547809
"Santo André";"2015";"29741";"14945";"14796";"81252";"37168";"18070";"26014";"30333";"22306";"-";"8027";"2375";"862";"986";"527";3547809
"Santo André";"2016";"30533";"16086";"14447";"81565";"37226";"17921";"26418";"30811";"23087";"-";"7724";"2575";"992";"1022";"561";3547809
"Santo André";"2017";"30482";"16755";"13727";"80257";"37155";"17265";"25837";"29165";"21997";"-";"7168";"2642";"1051";"1017";"574";3547809
"Santo André";"2018";"30923";"17320";"13603";"80664";"37360";"17081";"26223";"27684";"20819";"";"6865";"2765";"1144";"983";"638";3547809
"Santo Antônio da Alegria";"2014";"224";"224";"-";"800";"376";"424";"-";"245";"245";"-";"-";"-";"-";"-";"-";3547908
"Santo Antônio da Alegria";"2015";"249";"249";"-";"831";"393";"438";"-";"227";"227";"-";"-";"9";"1";"8";"-";3547908
"Santo Antônio da Alegria";"2016";"254";"254";"-";"843";"370";"473";"-";"241";"241";"-";"-";"6";"1";"5";"-";3547908
"Santo Antônio da Alegria";"2017";"262";"262";"-";"830";"344";"486";"-";"224";"224";"-";"-";"18";"3";"15";"-";3547908
"Santo Antônio da Alegria";"2018";"270";"270";"";"825";"355";"470";"";"220";"220";"";"";"31";"7";"24";"";3547908
"Santo Antônio de Posse";"2014";"944";"903";"41";"3045";"-";"2897";"148";"820";"820";"-";"-";"44";"-";"-";"44";3548005
"Santo Antônio de Posse";"2015";"910";"864";"46";"2983";"-";"2809";"174";"800";"800";"-";"-";"67";"4";"28";"35";3548005
"Santo Antônio de Posse";"2016";"886";"844";"42";"2991";"-";"2829";"162";"663";"663";"-";"-";"73";"7";"35";"31";3548005
"Santo Antônio de Posse";"2017";"971";"938";"33";"2979";"-";"2826";"153";"657";"657";"-";"-";"84";"7";"48";"29";3548005
"Santo Antônio de Posse";"2018";"1040";"1012";"28";"2927";"";"2787";"140";"563";"563";"";"";"78";"5";"45";"28";3548005
"Santo Antônio do Aracanguá";"2014";"429";"429";"-";"912";"-";"912";"-";"300";"300";"-";"-";"-";"-";"-";"-";3548054
"Santo Antônio do Aracanguá";"2015";"431";"431";"-";"872";"-";"872";"-";"284";"284";"-";"-";"13";"1";"12";"-";3548054
"Santo Antônio do Aracanguá";"2016";"443";"443";"-";"884";"-";"884";"-";"299";"299";"-";"-";"14";"1";"13";"-";3548054
"Santo Antônio do Aracanguá";"2017";"539";"539";"-";"952";"-";"952";"-";"262";"262";"-";"-";"18";"2";"16";"-";3548054
"Santo Antônio do Aracanguá";"2018";"457";"457";"";"974";"";"974";"";"241";"241";"";"";"29";"2";"27";"";3548054
"Santo Antônio do Jardim";"2014";"238";"238";"-";"849";"476";"373";"-";"254";"254";"-";"-";"6";"-";"6";"-";3548104
"Santo Antônio do Jardim";"2015";"235";"235";"-";"857";"469";"388";"-";"237";"237";"-";"-";"66";"36";"30";"-";3548104
"Santo Antônio do Jardim";"2016";"209";"209";"-";"817";"450";"367";"-";"241";"241";"-";"-";"41";"22";"19";"-";3548104
"Santo Antônio do Jardim";"2017";"209";"209";"-";"815";"441";"374";"-";"229";"229";"-";"-";"40";"22";"18";"-";3548104
"Santo Antônio do Jardim";"2018";"212";"212";"";"787";"422";"365";"";"243";"243";"";"";"46";"31";"15";"";3548104
"Santo Antônio do Pinhal";"2014";"295";"283";"12";"1099";"-";"1074";"25";"341";"341";"-";"-";"-";"-";"-";"-";3548203
"Santo Antônio do Pinhal";"2015";"305";"289";"16";"1082";"-";"1050";"32";"323";"323";"-";"-";"20";"5";"15";"-";3548203
"Santo Antônio do Pinhal";"2016";"313";"299";"14";"1061";"-";"1019";"42";"303";"303";"-";"-";"21";"4";"17";"-";3548203
"Santo Antônio do Pinhal";"2017";"300";"288";"12";"1033";"-";"1007";"26";"318";"318";"-";"-";"24";"10";"14";"-";3548203
"Santo Antônio do Pinhal";"2018";"313";"299";"14";"978";"";"955";"23";"289";"289";"";"";"23";"7";"16";"";3548203
"Santo Expedito";"2014";"105";"105";"-";"358";"145";"213";"-";"127";"127";"-";"-";"-";"-";"-";"-";3548302
"Santo Expedito";"2015";"121";"121";"-";"368";"145";"223";"-";"133";"133";"-";"-";"6";"3";"3";"-";3548302
"Santo Expedito";"2016";"114";"114";"-";"344";"135";"209";"-";"137";"137";"-";"-";"7";"4";"3";"-";3548302
"Santo Expedito";"2017";"122";"122";"-";"353";"156";"197";"-";"131";"131";"-";"-";"7";"4";"3";"-";3548302
"Santo Expedito";"2018";"124";"124";"";"323";"148";"175";"";"119";"119";"";"";"8";"3";"5";"";3548302
"Santópolis do Aguapeí";"2014";"216";"216";"-";"529";"249";"280";"-";"172";"172";"-";"-";"-";"-";"-";"-";3548401
"Santópolis do Aguapeí";"2015";"200";"200";"-";"504";"209";"295";"-";"168";"168";"-";"-";"6";"4";"2";"-";3548401
"Santópolis do Aguapeí";"2016";"216";"216";"-";"478";"202";"276";"-";"163";"163";"-";"-";"5";"3";"2";"-";3548401
"Santópolis do Aguapeí";"2017";"233";"233";"-";"451";"180";"271";"-";"158";"158";"-";"-";"9";"6";"3";"-";3548401
"Santópolis do Aguapeí";"2018";"234";"234";"";"466";"188";"278";"";"151";"151";"";"";"15";"9";"6";"";3548401
"Santos";"2014";"18941";"7189";"11752";"45381";"7609";"19138";"18634";"15319";"10188";"-";"5131";"1022";"-";"117";"905";3548500
"Santos";"2015";"19208";"7421";"11787";"44009";"7190";"17851";"18968";"14533";"9262";"-";"5271";"2362";"378";"836";"1148";3548500
"Santos";"2016";"20134";"7986";"12148";"46356";"7441";"19427";"19488";"15210";"10039";"-";"5171";"2673";"449";"1059";"1165";3548500
"Santos";"2017";"20026";"8035";"11991";"46275";"7234";"19602";"19439";"14734";"9911";"-";"4823";"2791";"512";"1084";"1195";3548500
"Santos";"2018";"20168";"7867";"12301";"46531";"7419";"19433";"19679";"14876";"10165";"";"4711";"2899";"543";"1039";"1317";3548500
"São Bento do Sapucaí";"2014";"286";"286";"-";"1288";"528";"633";"127";"523";"473";"-";"50";"-";"-";"-";"-";3548609
"São Bento do Sapucaí";"2015";"278";"278";"-";"1266";"517";"628";"121";"403";"360";"-";"43";"37";"28";"9";"-";3548609
"São Bento do Sapucaí";"2016";"299";"299";"-";"1217";"508";"572";"137";"404";"354";"-";"50";"32";"26";"6";"-";3548609
"São Bento do Sapucaí";"2017";"285";"285";"-";"1175";"479";"570";"126";"339";"296";"-";"43";"37";"31";"6";"-";3548609
"São Bento do Sapucaí";"2018";"306";"306";"";"1201";"489";"594";"118";"319";"279";"";"40";"38";"31";"7";"";3548609
"São Bernardo do Campo";"2014";"37948";"29363";"8585";"99777";"37036";"43247";"19494";"37578";"31533";"-";"6045";"520";"-";"191";"329";3548708
"São Bernardo do Campo";"2015";"40159";"29996";"10163";"97633";"31959";"45538";"20136";"36096";"30138";"-";"5958";"3048";"1158";"1323";"567";3548708
"São Bernardo do Campo";"2016";"40711";"30568";"10143";"96086";"31048";"44687";"20351";"36583";"30509";"-";"6074";"3308";"1163";"1385";"760";3548708
"São Bernardo do Campo";"2017";"40880";"30893";"9987";"94611";"30385";"44128";"20098";"34910";"28871";"-";"6039";"3457";"1145";"1483";"829";3548708
"São Bernardo do Campo";"2018";"41263";"31499";"9764";"97226";"32662";"43799";"20765";"30351";"24745";"";"5606";"3584";"1145";"1490";"949";3548708
"São Caetano do Sul";"2014";"6937";"5134";"1803";"19712";"2385";"11249";"6078";"8542";"4712";"1873";"1957";"320";"-";"46";"274";3548807
"São Caetano do Sul";"2015";"6894";"5089";"1805";"19682";"2080";"11211";"6391";"8064";"4462";"1642";"1960";"760";"74";"365";"321";3548807
"São Caetano do Sul";"2016";"7054";"5205";"1849";"20442";"2309";"11549";"6584";"8102";"4652";"1507";"1943";"806";"86";"383";"337";3548807
"São Caetano do Sul";"2017";"7247";"5544";"1703";"20757";"2328";"11873";"6556";"7745";"4460";"1540";"1745";"807";"88";"407";"312";3548807
"São Caetano do Sul";"2018";"7054";"5433";"1621";"21032";"2571";"11770";"6691";"7672";"4403";"1570";"1699";"867";"114";"453";"300";3548807
"São Carlos";"2014";"11230";"8304";"2769";"26963";"14494";"5721";"6748";"9782";"7458";"-";"2324";"444";"-";"12";"432";3548906
"São Carlos";"2015";"11390";"8456";"2800";"26294";"13814";"5508";"6972";"9659";"7325";"-";"2334";"1201";"520";"219";"461";3548906
"São Carlos";"2016";"11508";"8581";"2719";"26632";"13843";"5738";"7051";"9940";"7707";"-";"2233";"1114";"455";"299";"359";3548906
"São Carlos";"2017";"11790";"8753";"2859";"27019";"14134";"5764";"7121";"9141";"7036";"-";"2063";"1246";"487";"313";"443";3548906
"São Carlos";"2018";"12090";"9164";"2743";"27132";"14081";"5818";"7233";"8321";"6264";"";"1939";"1384";"535";"320";"517";3548906
"São Francisco";"2014";"117";"117";"-";"323";"290";"33";"-";"84";"84";"-";"-";"-";"-";"-";"-";3549003
"São Francisco";"2015";"118";"118";"-";"317";"281";"36";"-";"88";"88";"-";"-";"11";"10";"1";"-";3549003
"São Francisco";"2016";"123";"123";"-";"311";"277";"34";"-";"113";"113";"-";"-";"10";"9";"1";"-";3549003
"São Francisco";"2017";"119";"119";"-";"290";"253";"37";"-";"128";"128";"-";"-";"9";"8";"1";"-";3549003
"São Francisco";"2018";"111";"111";"";"278";"247";"31";"";"119";"119";"";"";"12";"12";"-";"";3549003
"São João da Boa Vista";"2014";"3666";"2670";"996";"9534";"3581";"3554";"2399";"3651";"2413";"-";"964";"206";"-";"-";"206";3549102
"São João da Boa Vista";"2015";"3958";"2831";"1127";"9573";"3219";"3696";"2658";"3475";"2213";"-";"949";"511";"173";"110";"222";3549102
"São João da Boa Vista";"2016";"4058";"2920";"1138";"9563";"3053";"3717";"2793";"3494";"2222";"-";"931";"491";"180";"102";"204";3549102
"São João da Boa Vista";"2017";"4191";"2986";"1205";"9204";"2713";"3707";"2784";"3624";"2348";"-";"935";"452";"174";"94";"182";3549102
"São João da Boa Vista";"2018";"4481";"3297";"1184";"9198";"2712";"3643";"2843";"3623";"2336";"";"951";"451";"174";"102";"170";3549102
"São João das Duas Pontes";"2014";"79";"79";"-";"292";"132";"160";"-";"105";"105";"-";"-";"4";"-";"4";"-";3549201
"São João das Duas Pontes";"2015";"83";"83";"-";"294";"116";"178";"-";"98";"98";"-";"-";"6";"2";"4";"-";3549201
"São João das Duas Pontes";"2016";"125";"125";"-";"280";"106";"174";"-";"95";"95";"-";"-";"6";"2";"4";"-";3549201
"São João das Duas Pontes";"2017";"121";"121";"-";"274";"112";"162";"-";"75";"75";"-";"-";"7";"3";"4";"-";3549201
"São João das Duas Pontes";"2018";"118";"118";"";"288";"122";"166";"";"71";"71";"";"";"6";"4";"2";"";3549201
"São João de Iracema";"2014";"95";"95";"-";"206";"99";"107";"-";"68";"68";"-";"-";"-";"-";"-";"-";3549250
"São João de Iracema";"2015";"83";"83";"-";"196";"86";"110";"-";"69";"69";"-";"-";"17";"12";"5";"-";3549250
"São João de Iracema";"2016";"76";"76";"-";"190";"87";"103";"-";"72";"72";"-";"-";"17";"14";"3";"-";3549250
"São João de Iracema";"2017";"93";"93";"-";"194";"79";"115";"-";"79";"79";"-";"-";"17";"16";"1";"-";3549250
"São João de Iracema";"2018";"105";"105";"";"186";"75";"111";"";"53";"53";"";"";"14";"13";"1";"";3549250
"São João do Pau d'Alho";"2014";"97";"97";"-";"207";"93";"114";"-";"100";"100";"-";"-";"-";"-";"-";"-";3549300
"São João do Pau d'Alho";"2015";"87";"87";"-";"198";"89";"109";"-";"77";"77";"-";"-";"10";"6";"4";"-";3549300
"São João do Pau d'Alho";"2016";"88";"88";"-";"217";"87";"130";"-";"65";"65";"-";"-";"8";"3";"5";"-";3549300
"São João do Pau d'Alho";"2017";"100";"100";"-";"222";"86";"136";"-";"69";"69";"-";"-";"9";"6";"3";"-";3549300
"São João do Pau d'Alho";"2018";"105";"105";"";"232";"88";"144";"";"65";"65";"";"";"9";"4";"5";"";3549300
"São Joaquim da Barra";"2014";"1980";"1466";"514";"5589";"4292";"518";"779";"2050";"1862";"-";"188";"105";"-";"-";"105";3549409
"São Joaquim da Barra";"2015";"2100";"1586";"514";"5480";"4125";"521";"834";"1929";"1758";"-";"171";"269";"164";"10";"95";3549409
"São Joaquim da Barra";"2016";"2093";"1573";"520";"5398";"4016";"527";"855";"1923";"1768";"-";"155";"252";"156";"12";"84";3549409
"São Joaquim da Barra";"2017";"2156";"1622";"534";"5367";"3989";"519";"859";"1891";"1714";"-";"177";"243";"148";"11";"84";3549409
"São Joaquim da Barra";"2018";"2228";"1731";"497";"5297";"3366";"1034";"897";"1882";"1690";"";"192";"245";"140";"23";"82";3549409
"São José da Bela Vista";"2014";"404";"404";"-";"1186";"548";"638";"-";"361";"361";"-";"-";"-";"-";"-";"-";3549508
"São José da Bela Vista";"2015";"449";"449";"-";"1150";"519";"631";"-";"357";"357";"-";"-";"25";"22";"3";"-";3549508
"São José da Bela Vista";"2016";"478";"478";"-";"1163";"494";"669";"-";"345";"345";"-";"-";"37";"20";"17";"-";3549508
"São José da Bela Vista";"2017";"411";"411";"-";"1142";"460";"682";"-";"316";"316";"-";"-";"40";"20";"20";"-";3549508
"São José da Bela Vista";"2018";"387";"387";"";"1081";"451";"630";"";"330";"330";"";"";"37";"19";"18";"";3549508
"São José do Barreiro";"2014";"154";"154";"-";"587";"-";"587";"-";"204";"204";"-";"-";"-";"-";"-";"-";3549607
"São José do Barreiro";"2015";"177";"177";"-";"565";"-";"565";"-";"146";"146";"-";"-";"22";"9";"13";"-";3549607
"São José do Barreiro";"2016";"151";"151";"-";"591";"-";"591";"-";"164";"164";"-";"-";"49";"9";"40";"-";3549607
"São José do Barreiro";"2017";"164";"164";"-";"584";"-";"584";"-";"154";"154";"-";"-";"43";"4";"39";"-";3549607
"São José do Barreiro";"2018";"155";"155";"";"553";"";"553";"";"159";"159";"";"";"39";"5";"34";"";3549607
"São José do Rio Pardo";"2014";"2141";"1602";"539";"5885";"3152";"1648";"1085";"2073";"1692";"77";"304";"283";"-";"-";"283";3549706
"São José do Rio Pardo";"2015";"2225";"1615";"610";"5942";"2964";"1669";"1309";"2023";"1625";"82";"316";"439";"145";"36";"258";3549706
"São José do Rio Pardo";"2016";"2281";"1674";"607";"5874";"2726";"1817";"1331";"2132";"1708";"94";"330";"399";"92";"41";"266";3549706
"São José do Rio Pardo";"2017";"2444";"1851";"593";"5859";"2675";"1855";"1329";"2010";"1562";"95";"353";"434";"127";"46";"261";3549706
"São José do Rio Pardo";"2018";"2486";"1812";"674";"5790";"2612";"1856";"1322";"1933";"1485";"93";"355";"411";"155";"59";"197";3549706
"São José do Rio Preto";"2014";"21628";"9706";"11874";"45849";"13832";"18820";"13197";"16061";"12028";"-";"4033";"512";"-";"32";"480";3549805
"São José do Rio Preto";"2015";"21861";"11397";"10416";"45947";"13524";"18468";"13955";"15476";"11481";"-";"3995";"1635";"574";"525";"536";3549805
"São José do Rio Preto";"2016";"21695";"13613";"8047";"47009";"13424";"19343";"14242";"15865";"11945";"-";"3920";"1585";"529";"547";"509";3549805
"São José do Rio Preto";"2017";"22487";"14424";"8031";"47272";"13478";"19490";"14304";"15683";"11794";"-";"3889";"1698";"606";"606";"486";3549805
"São José do Rio Preto";"2018";"23273";"15271";"7968";"48200";"12600";"20792";"14808";"15335";"11479";"";"3856";"1689";"629";"582";"478";3549805
"São José dos Campos";"2014";"32209";"19266";"12922";"82466";"32842";"33988";"15636";"30901";"23477";"-";"7424";"407";"-";"25";"382";3549904
"São José dos Campos";"2015";"33038";"20003";"13012";"79666";"29917";"33519";"16230";"28984";"21680";"-";"7304";"2796";"1024";"1069";"702";3549904
"São José dos Campos";"2016";"33622";"20272";"13089";"80335";"29278";"34465";"16592";"30710";"23438";"-";"7272";"2847";"1045";"1134";"663";3549904
"São José dos Campos";"2017";"34132";"21044";"12855";"80578";"28249";"35732";"16597";"29686";"22604";"-";"7003";"2878";"1024";"1151";"688";3549904
"São José dos Campos";"2018";"36707";"23359";"13131";"80864";"28200";"35555";"17109";"27785";"20956";"";"6683";"3021";"1072";"1269";"667";3549904
"São Lourenço da Serra";"2014";"654";"605";"49";"1917";"969";"929";"19";"753";"753";"-";"-";"-";"-";"-";"-";3549953
"São Lourenço da Serra";"2015";"671";"632";"39";"1810";"876";"912";"22";"741";"741";"-";"-";"34";"24";"10";"-";3549953
"São Lourenço da Serra";"2016";"669";"610";"59";"1814";"775";"1003";"36";"748";"748";"-";"-";"39";"25";"14";"-";3549953
"São Lourenço da Serra";"2017";"680";"626";"54";"1840";"777";"1029";"34";"712";"712";"-";"-";"46";"30";"16";"-";3549953
"São Lourenço da Serra";"2018";"672";"632";"40";"1799";"726";"1054";"19";"649";"649";"";"";"42";"23";"19";"";3549953
"São Luís do Paraitinga";"2014";"236";"236";"-";"1460";"-";"1460";"-";"472";"472";"-";"-";"-";"-";"-";"-";3550001
"São Luís do Paraitinga";"2015";"265";"265";"-";"1346";"-";"1346";"-";"478";"478";"-";"-";"42";"7";"35";"-";3550001
"São Luís do Paraitinga";"2016";"295";"295";"-";"1284";"-";"1284";"-";"476";"476";"-";"-";"43";"7";"36";"-";3550001
"São Luís do Paraitinga";"2017";"288";"288";"-";"1296";"-";"1296";"-";"422";"422";"-";"-";"44";"5";"39";"-";3550001
"São Luís do Paraitinga";"2018";"309";"309";"";"1237";"";"1237";"";"382";"382";"";"";"48";"6";"42";"";3550001
"São Manuel";"2014";"1555";"1212";"343";"5054";"2025";"2271";"758";"1660";"1482";"-";"178";"41";"-";"-";"41";3550100
"São Manuel";"2015";"1559";"1127";"432";"4855";"1846";"2194";"815";"1716";"1546";"-";"170";"105";"34";"28";"43";3550100
"São Manuel";"2016";"1598";"1173";"425";"4773";"1793";"2134";"846";"1685";"1525";"-";"160";"117";"46";"32";"39";3550100
"São Manuel";"2017";"1640";"1241";"399";"4669";"1684";"2159";"826";"1632";"1482";"-";"150";"132";"67";"38";"27";3550100
"São Manuel";"2018";"1633";"1323";"310";"4562";"1549";"2201";"812";"1528";"1380";"";"148";"143";"69";"34";"40";3550100
"São Miguel Arcanjo";"2014";"1177";"1044";"133";"4631";"2046";"2489";"96";"1408";"1370";"-";"38";"94";"-";"-";"94";3550209
"São Miguel Arcanjo";"2015";"1167";"1054";"113";"4536";"1872";"2474";"190";"1319";"1272";"-";"47";"137";"16";"24";"97";3550209
"São Miguel Arcanjo";"2016";"1192";"1085";"107";"4539";"1851";"2482";"206";"1309";"1279";"-";"30";"137";"7";"30";"100";3550209
"São Miguel Arcanjo";"2017";"1211";"1110";"101";"4422";"1750";"2480";"192";"1262";"1239";"-";"23";"134";"12";"27";"95";3550209
"São Miguel Arcanjo";"2018";"1172";"1056";"116";"4371";"1707";"2443";"221";"1156";"1122";"";"34";"148";"29";"25";"94";3550209
"São Paulo";"2014";"569008";"253909";"314435";"1444218";"643731";"432848";"367442";"522070";"426383";"3084";"91729";"3307";"249";"994";"2064";3550308
"São Paulo";"2015";"586027";"253037";"332413";"1382109";"591865";"420844";"369187";"505792";"409276";"3234";"92489";"32851";"11572";"15142";"6126";3550308
"São Paulo";"2016";"625025";"263253";"361268";"1366966";"574364";"421071";"371301";"520003";"424158";"3348";"91735";"34011";"12257";"15447";"6299";3550308
"São Paulo";"2017";"638896";"270653";"367770";"1332605";"557278";"414907";"360188";"496829";"404700";"3434";"87940";"37033";"13580";"16767";"6679";3550308
"São Paulo";"2018";"661442";"270683";"390399";"1383779";"587244";"429465";"366832";"420071";"332749";"2766";"83476";"39764";"14228";"18341";"7185";3550308
"São Pedro";"2014";"1474";"1296";"178";"4455";"614";"3327";"514";"1192";"1045";"-";"147";"41";"-";"41";"-";3550407
"São Pedro";"2015";"1507";"1315";"192";"4434";"472";"3480";"482";"1257";"1116";"-";"141";"83";"5";"73";"5";3550407
"São Pedro";"2016";"1585";"1390";"195";"4411";"233";"3683";"495";"1329";"1200";"-";"129";"125";"11";"108";"6";3550407
"São Pedro";"2017";"1765";"1556";"209";"4300";"119";"3690";"491";"1320";"1195";"-";"125";"170";"15";"148";"7";3550407
