"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Ibirarema";"2016";"308";"308";"-";"751";"338";"413";"-";"221";"221";"-";"-";"13";"5";"8";"-";3519501
"Ibirarema";"2017";"321";"321";"-";"745";"340";"405";"-";"204";"204";"-";"-";"11";"3";"8";"-";3519501
"Ibirarema";"2018";"344";"344";"";"725";"323";"402";"";"201";"201";"";"";"15";"3";"12";"";3519501
"Ibitinga";"2014";"2336";"1930";"406";"6321";"3747";"1956";"618";"1902";"1730";"-";"172";"190";"-";"-";"190";3519600
"Ibitinga";"2015";"2494";"2062";"432";"6397";"3561";"2010";"826";"1795";"1632";"-";"163";"413";"149";"44";"220";3519600
"Ibitinga";"2016";"2502";"2126";"376";"6356";"3586";"1958";"812";"1938";"1776";"-";"162";"379";"165";"38";"176";3519600
"Ibitinga";"2017";"2491";"2143";"348";"6298";"3480";"2019";"799";"1952";"1791";"-";"161";"395";"160";"53";"182";3519600
"Ibitinga";"2018";"2514";"2176";"338";"6389";"3423";"2109";"857";"1865";"1685";"";"180";"402";"172";"51";"179";3519600
"Ibiúna";"2014";"2479";"2080";"399";"11174";"4831";"5265";"1078";"3460";"3102";"-";"358";"-";"-";"-";"-";3519709
"Ibiúna";"2015";"2658";"2229";"429";"10954";"4370";"5447";"1137";"3208";"2869";"-";"339";"175";"117";"41";"17";3519709
"Ibiúna";"2016";"2850";"2469";"381";"10965";"4279";"5496";"1190";"3430";"3115";"-";"315";"237";"127";"92";"18";3519709
"Ibiúna";"2017";"3095";"2743";"352";"10940";"4204";"5558";"1178";"3311";"3017";"-";"294";"259";"136";"104";"19";3519709
"Ibiúna";"2018";"3413";"2984";"429";"10890";"4143";"5566";"1181";"3167";"2849";"";"318";"271";"149";"100";"22";3519709
"Icém";"2014";"429";"305";"124";"1004";"-";"1004";"-";"285";"285";"-";"-";"-";"-";"-";"-";3519808
"Icém";"2015";"429";"279";"150";"992";"-";"966";"26";"292";"292";"-";"-";"41";"4";"37";"-";3519808
"Icém";"2016";"389";"248";"141";"939";"-";"899";"40";"303";"303";"-";"-";"41";"5";"35";"1";3519808
"Icém";"2017";"328";"225";"103";"890";"-";"849";"41";"283";"283";"-";"-";"46";"3";"43";"-";3519808
"Icém";"2018";"338";"230";"108";"843";"";"788";"55";"270";"270";"";"";"44";"7";"37";"-";3519808
"Iepê";"2014";"348";"348";"-";"903";"444";"459";"-";"342";"342";"-";"-";"-";"-";"-";"-";3519907
"Iepê";"2015";"354";"354";"-";"874";"428";"446";"-";"321";"321";"-";"-";"20";"11";"9";"-";3519907
"Iepê";"2016";"334";"334";"-";"870";"375";"495";"-";"323";"323";"-";"-";"30";"20";"10";"-";3519907
"Iepê";"2017";"347";"347";"-";"885";"394";"491";"-";"310";"310";"-";"-";"30";"23";"7";"-";3519907
"Iepê";"2018";"359";"359";"";"875";"369";"506";"";"301";"301";"";"";"30";"22";"8";"";3519907
"Igarapava";"2014";"1335";"982";"353";"3355";"-";"2743";"612";"1065";"797";"103";"165";"90";"-";"90";"-";3520103
"Igarapava";"2015";"1223";"896";"327";"3254";"-";"2622";"632";"1057";"805";"103";"149";"91";"1";"89";"1";3520103
"Igarapava";"2016";"1223";"881";"342";"3248";"-";"2574";"674";"1021";"785";"94";"142";"73";"4";"68";"1";3520103
"Igarapava";"2017";"1240";"913";"327";"3199";"-";"2488";"711";"983";"781";"81";"121";"54";"5";"48";"1";3520103
"Igarapava";"2018";"1291";"965";"326";"3186";"";"2419";"767";"924";"727";"81";"116";"41";"6";"32";"3";3520103
"Igaratá";"2014";"362";"344";"18";"1435";"343";"1092";"-";"490";"490";"-";"-";"14";"-";"-";"14";3520202
"Igaratá";"2015";"399";"379";"20";"1424";"355";"1056";"13";"468";"468";"-";"-";"43";"11";"19";"13";3520202
"Igaratá";"2016";"386";"370";"16";"1413";"282";"1118";"13";"463";"463";"-";"-";"66";"17";"36";"13";3520202
