"Localidades";"Períodos";"Índice de Desenvolvimento Humano Municipal - IDHM ";"Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ";"Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ";"Índice de Desenvolvimento Humano Municipal - IDHM Educação ";"Índice de Desenvolvimento Humano Municipal - IDHM Renda ";"Cód. IBGE"
"Brodowski";"2000";"0,665";"208";"0,818";"0,512";"0,701";3507803
"Brodowski";"2010";"0,755";"195";"0,864";"0,675";"0,738";3507803
"Brotas";"1991";"0,491";"347";"0,711";"0,257";"0,646";3507902
"Brotas";"2000";"0,664";"216";"0,761";"0,539";"0,715";3507902
"Brotas";"2010";"0,74";"306";"0,815";"0,688";"0,724";3507902
"Buri";"1991";"0,379";"621";"0,642";"0,149";"0,57";3508009
"Buri";"2000";"0,542";"631";"0,706";"0,373";"0,606";3508009
"Buri";"2010";"0,667";"636";"0,799";"0,578";"0,642";3508009
"Buritama";"1991";"0,531";"172";"0,728";"0,331";"0,62";3508108
"Buritama";"2000";"0,66";"239";"0,749";"0,556";"0,689";3508108
"Buritama";"2010";"0,763";"145";"0,839";"0,72";"0,736";3508108
"Buritizal";"1991";"0,522";"206";"0,719";"0,321";"0,616";3508207
"Buritizal";"2000";"0,608";"506";"0,772";"0,449";"0,649";3508207
"Buritizal";"2010";"0,735";"345";"0,83";"0,643";"0,743";3508207
"Cabrália Paulista";"1991";"0,448";"514";"0,672";"0,218";"0,612";3508306
"Cabrália Paulista";"2000";"0,577";"599";"0,744";"0,425";"0,609";3508306
"Cabrália Paulista";"2010";"0,694";"601";"0,811";"0,619";"0,667";3508306
"Cabreúva";"1991";"0,478";"417";"0,708";"0,227";"0,678";3508405
"Cabreúva";"2000";"0,626";"427";"0,794";"0,456";"0,679";3508405
"Cabreúva";"2010";"0,738";"321";"0,828";"0,678";"0,717";3508405
"Cachoeira Paulista";"1991";"0,553";"108";"0,756";"0,35";"0,64";3508603
"Cachoeira Paulista";"2000";"0,676";"161";"0,813";"0,557";"0,682";3508603
"Cachoeira Paulista";"2010";"0,764";"142";"0,837";"0,728";"0,733";3508603
"Caconde";"1991";"0,456";"489";"0,727";"0,223";"0,583";3508702
"Caconde";"2000";"0,619";"461";"0,8";"0,447";"0,662";3508702
"Caconde";"2010";"0,72";"469";"0,858";"0,62";"0,701";3508702
"Cafelândia";"1991";"0,504";"290";"0,746";"0,288";"0,596";3508801
"Cafelândia";"2000";"0,654";"272";"0,806";"0,496";"0,699";3508801
"Cafelândia";"2010";"0,742";"290";"0,867";"0,661";"0,714";3508801
"Caiabu";"1991";"0,48";"406";"0,716";"0,299";"0,517";3508900
"Caiabu";"2000";"0,626";"427";"0,793";"0,517";"0,598";3508900
"Caiabu";"2010";"0,729";"400";"0,823";"0,691";"0,682";3508900
"Caieiras";"1991";"0,545";"127";"0,717";"0,33";"0,685";3509007
"Caieiras";"2000";"0,687";"121";"0,811";"0,567";"0,706";3509007
"Caieiras";"2010";"0,781";"62";"0,861";"0,749";"0,74";3509007
"Caiuá";"1991";"0,435";"552";"0,652";"0,252";"0,5";3509106
"Caiuá";"2000";"0,593";"561";"0,712";"0,509";"0,576";3509106
"Caiuá";"2010";"0,697";"590";"0,802";"0,635";"0,665";3509106
"Cajamar";"1991";"0,501";"302";"0,712";"0,258";"0,684";3509205
"Cajamar";"2000";"0,634";"377";"0,754";"0,483";"0,699";3509205
"Cajamar";"2010";"0,728";"409";"0,81";"0,668";"0,713";3509205
"Cajati";"1991";"0,434";"556";"0,711";"0,2";"0,574";3509254
"Cajati";"2000";"0,579";"592";"0,743";"0,43";"0,606";3509254
"Cajati";"2010";"0,694";"601";"0,832";"0,611";"0,658";3509254
"Cajobi";"1991";"0,505";"285";"0,705";"0,277";"0,66";3509304
"Cajobi";"2000";"0,617";"473";"0,79";"0,468";"0,636";3509304
"Cajobi";"2010";"0,734";"356";"0,822";"0,674";"0,714";3509304
"Cajuru";"1991";"0,514";"249";"0,717";"0,295";"0,643";3509403
"Cajuru";"2000";"0,648";"293";"0,781";"0,511";"0,681";3509403
"Cajuru";"2010";"0,713";"515";"0,825";"0,633";"0,693";3509403
"Campina do Monte Alegre";"1991";"0,364";"627";"0,687";"0,119";"0,592";3509452
"Campina do Monte Alegre";"2000";"0,592";"566";"0,743";"0,445";"0,629";3509452
"Campina do Monte Alegre";"2010";"0,717";"494";"0,846";"0,634";"0,687";3509452
"Campinas";"1991";"0,618";"11";"0,746";"0,408";"0,775";3509502
"Campinas";"2000";"0,735";"18";"0,801";"0,614";"0,808";3509502
"Campinas";"2010";"0,805";"14";"0,86";"0,731";"0,829";3509502
"Campo Limpo Paulista";"1991";"0,507";"276";"0,704";"0,276";"0,672";3509601
"Campo Limpo Paulista";"2000";"0,678";"150";"0,805";"0,544";"0,711";3509601
"Campo Limpo Paulista";"2010";"0,769";"115";"0,84";"0,739";"0,733";3509601
