"Localidades";"Períodos";"Índice de Desenvolvimento Humano Municipal - IDHM ";"Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ";"Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ";"Índice de Desenvolvimento Humano Municipal - IDHM Educação ";"Índice de Desenvolvimento Humano Municipal - IDHM Renda ";"Cód. IBGE"
"Mogi das Cruzes";"2010";"0,783";"60";"0,851";"0,74";"0,762";3530607
"Mogi Guaçu";"1991";"0,563";"76";"0,74";"0,354";"0,682";3530706
"Mogi Guaçu";"2000";"0,701";"71";"0,814";"0,588";"0,719";3530706
"Mogi Guaçu";"2010";"0,774";"92";"0,852";"0,736";"0,74";3530706
"Mogi Mirim";"1991";"0,574";"51";"0,755";"0,356";"0,705";3530805
"Mogi Mirim";"2000";"0,718";"36";"0,81";"0,614";"0,745";3530805
"Mogi Mirim";"2010";"0,784";"55";"0,879";"0,715";"0,767";3530805
"Mombuca";"1991";"0,526";"188";"0,726";"0,294";"0,682";3530904
"Mombuca";"2000";"0,606";"517";"0,788";"0,413";"0,684";3530904
"Mombuca";"2010";"0,719";"476";"0,82";"0,607";"0,746";3530904
"Mongaguá";"1991";"0,516";"234";"0,68";"0,312";"0,648";3531100
"Mongaguá";"2000";"0,64";"350";"0,753";"0,498";"0,699";3531100
"Mongaguá";"2010";"0,754";"199";"0,854";"0,699";"0,719";3531100
"Monte Alegre do Sul";"1991";"0,504";"290";"0,744";"0,274";"0,627";3531209
"Monte Alegre do Sul";"2000";"0,675";"162";"0,836";"0,518";"0,71";3531209
"Monte Alegre do Sul";"2010";"0,759";"169";"0,858";"0,678";"0,752";3531209
"Monte Alto";"1991";"0,574";"51";"0,774";"0,353";"0,691";3531308
"Monte Alto";"2000";"0,703";"69";"0,821";"0,59";"0,718";3531308
"Monte Alto";"2010";"0,768";"121";"0,859";"0,707";"0,746";3531308
"Monte Aprazível";"1991";"0,557";"96";"0,759";"0,351";"0,65";3531407
"Monte Aprazível";"2000";"0,704";"65";"0,806";"0,614";"0,706";3531407
"Monte Aprazível";"2010";"0,785";"50";"0,861";"0,72";"0,781";3531407
"Monte Azul Paulista";"1991";"0,494";"327";"0,694";"0,262";"0,664";3531506
"Monte Azul Paulista";"2000";"0,662";"230";"0,812";"0,505";"0,707";3531506
"Monte Azul Paulista";"2010";"0,753";"207";"0,843";"0,69";"0,733";3531506
"Monte Castelo";"1991";"0,461";"473";"0,699";"0,259";"0,542";3531605
"Monte Castelo";"2000";"0,639";"354";"0,775";"0,526";"0,639";3531605
"Monte Castelo";"2010";"0,741";"297";"0,814";"0,709";"0,706";3531605
"Monte Mor";"1991";"0,46";"477";"0,741";"0,204";"0,646";3531803
"Monte Mor";"2000";"0,62";"456";"0,785";"0,452";"0,673";3531803
"Monte Mor";"2010";"0,733";"362";"0,863";"0,639";"0,713";3531803
"Monteiro Lobato";"1991";"0,466";"457";"0,704";"0,237";"0,607";3531704
"Monteiro Lobato";"2000";"0,613";"488";"0,803";"0,426";"0,674";3531704
"Monteiro Lobato";"2010";"0,71";"534";"0,826";"0,627";"0,692";3531704
"Monções";"1991";"0,428";"569";"0,688";"0,197";"0,58";3531001
"Monções";"2000";"0,647";"296";"0,747";"0,574";"0,632";3531001
"Monções";"2010";"0,772";"103";"0,814";"0,773";"0,731";3531001
"Morro Agudo";"1991";"0,483";"392";"0,719";"0,235";"0,665";3531902
"Morro Agudo";"2000";"0,619";"461";"0,756";"0,455";"0,688";3531902
"Morro Agudo";"2010";"0,712";"522";"0,836";"0,604";"0,716";3531902
"Morungaba";"1991";"0,513";"253";"0,729";"0,275";"0,672";3532009
"Morungaba";"2000";"0,646";"299";"0,776";"0,485";"0,716";3532009
"Morungaba";"2010";"0,715";"502";"0,802";"0,627";"0,726";3532009
"Motuca";"1991";"0,496";"321";"0,75";"0,243";"0,668";3532058
"Motuca";"2000";"0,655";"264";"0,774";"0,567";"0,64";3532058
"Motuca";"2010";"0,741";"297";"0,859";"0,691";"0,685";3532058
"Murutinga do Sul";"1991";"0,566";"70";"0,744";"0,396";"0,617";3532108
"Murutinga do Sul";"2000";"0,668";"189";"0,791";"0,579";"0,65";3532108
"Murutinga do Sul";"2010";"0,726";"426";"0,847";"0,643";"0,703";3532108
"Nantes";"1991";"0,4";"611";"0,68";"0,175";"0,536";3532157
"Nantes";"2000";"0,629";"413";"0,74";"0,552";"0,609";3532157
"Nantes";"2010";"0,714";"509";"0,79";"0,702";"0,655";3532157
"Narandiba";"1991";"0,432";"564";"0,716";"0,203";"0,555";3532207
"Narandiba";"2000";"0,587";"579";"0,785";"0,429";"0,6";3532207
"Narandiba";"2010";"0,718";"489";"0,839";"0,67";"0,659";3532207
"Natividade da Serra";"1991";"0,353";"633";"0,686";"0,117";"0,549";3532306
"Natividade da Serra";"2000";"0,497";"642";"0,779";"0,262";"0,603";3532306
"Natividade da Serra";"2010";"0,655";"642";"0,814";"0,52";"0,664";3532306
"Nazaré Paulista";"1991";"0,407";"601";"0,714";"0,153";"0,618";3532405
"Nazaré Paulista";"2000";"0,527";"637";"0,743";"0,309";"0,639";3532405
"Nazaré Paulista";"2010";"0,678";"625";"0,818";"0,559";"0,681";3532405
"Neves Paulista";"1991";"0,516";"234";"0,721";"0,299";"0,638";3532504
"Neves Paulista";"2000";"0,693";"99";"0,799";"0,596";"0,7";3532504
"Neves Paulista";"2010";"0,754";"199";"0,823";"0,707";"0,737";3532504
"Nhandeara";"1991";"0,55";"114";"0,732";"0,341";"0,668";3532603
"Nhandeara";"2000";"0,701";"71";"0,807";"0,612";"0,698";3532603
"Nhandeara";"2010";"0,751";"219";"0,835";"0,672";"0,755";3532603
"Nipoã";"1991";"0,439";"541";"0,719";"0,194";"0,607";3532702
"Nipoã";"2000";"0,607";"510";"0,785";"0,447";"0,638";3532702
"Nipoã";"2010";"0,713";"515";"0,814";"0,636";"0,701";3532702
"Nova Aliança";"1991";"0,564";"74";"0,713";"0,387";"0,65";3532801
"Nova Aliança";"2000";"0,666";"202";"0,802";"0,548";"0,672";3532801
"Nova Aliança";"2010";"0,738";"321";"0,826";"0,684";"0,71";3532801
"Nova Campina";"1991";"0,234";"645";"0,64";"0,043";"0,463";3532827
"Nova Campina";"2000";"0,525";"638";"0,706";"0,344";"0,596";3532827
"Nova Campina";"2010";"0,651";"643";"0,799";"0,577";"0,598";3532827
"Nova Canaã Paulista";"1991";"0,367";"626";"0,693";"0,152";"0,471";3532843
"Nova Canaã Paulista";"2000";"0,612";"494";"0,785";"0,496";"0,59";3532843
"Nova Canaã Paulista";"2010";"0,715";"502";"0,806";"0,675";"0,673";3532843
"Nova Castilho";"1991";"0,435";"552";"0,705";"0,2";"0,582";3532868
"Nova Castilho";"2000";"0,633";"387";"0,779";"0,557";"0,584";3532868
"Nova Castilho";"2010";"0,756";"188";"0,823";"0,755";"0,694";3532868
"Nova Europa";"1991";"0,545";"127";"0,749";"0,316";"0,683";3532900
"Nova Europa";"2000";"0,678";"150";"0,814";"0,563";"0,68";3532900
"Nova Europa";"2010";"0,765";"138";"0,869";"0,718";"0,718";3532900
"Nova Granada";"1991";"0,508";"271";"0,731";"0,277";"0,649";3533007
"Nova Granada";"2000";"0,654";"272";"0,796";"0,529";"0,663";3533007
"Nova Granada";"2010";"0,739";"314";"0,818";"0,68";"0,727";3533007
"Nova Guataporanga";"1991";"0,493";"334";"0,759";"0,297";"0,53";3533106
"Nova Guataporanga";"2000";"0,639";"354";"0,834";"0,531";"0,589";3533106
"Nova Guataporanga";"2010";"0,726";"426";"0,842";"0,644";"0,707";3533106
"Nova Independência";"1991";"0,434";"556";"0,718";"0,208";"0,548";3533205
"Nova Independência";"2000";"0,644";"318";"0,81";"0,564";"0,584";3533205
"Nova Independência";"2010";"0,735";"345";"0,827";"0,711";"0,675";3533205
"Nova Luzitânia";"1991";"0,493";"334";"0,688";"0,294";"0,593";3533304
"Nova Luzitânia";"2000";"0,663";"224";"0,752";"0,602";"0,645";3533304
"Nova Luzitânia";"2010";"0,743";"283";"0,808";"0,719";"0,705";3533304
"Nova Odessa";"1991";"0,577";"47";"0,745";"0,378";"0,681";3533403
"Nova Odessa";"2000";"0,705";"57";"0,826";"0,596";"0,712";3533403
"Nova Odessa";"2010";"0,791";"33";"0,861";"0,762";"0,755";3533403
"Novais";"1991";"0,38";"620";"0,706";"0,137";"0,569";3533254
"Novais";"2000";"0,593";"561";"0,8";"0,444";"0,587";3533254
"Novais";"2010";"0,719";"476";"0,822";"0,634";"0,712";3533254
"Novo Horizonte";"1991";"0,546";"124";"0,785";"0,322";"0,643";3533502
"Novo Horizonte";"2000";"0,679";"146";"0,827";"0,548";"0,691";3533502
"Novo Horizonte";"2010";"0,753";"207";"0,865";"0,665";"0,741";3533502
"Nuporanga";"1991";"0,501";"302";"0,721";"0,263";"0,662";3533601
"Nuporanga";"2000";"0,643";"328";"0,784";"0,487";"0,695";3533601
"Nuporanga";"2010";"0,746";"260";"0,866";"0,656";"0,73";3533601
"Ocauçu";"1991";"0,504";"290";"0,729";"0,31";"0,566";3533700
"Ocauçu";"2000";"0,628";"418";"0,772";"0,484";"0,663";3533700
"Ocauçu";"2010";"0,717";"494";"0,83";"0,653";"0,679";3533700
"Óleo";"1991";"0,511";"265";"0,724";"0,319";"0,579";3533809
"Óleo";"2000";"0,631";"398";"0,776";"0,535";"0,606";3533809
"Óleo";"2010";"0,73";"388";"0,858";"0,637";"0,713";3533809
"Olímpia";"1991";"0,539";"147";"0,763";"0,311";"0,659";3533908
"Olímpia";"2000";"0,686";"127";"0,801";"0,561";"0,718";3533908
"Olímpia";"2010";"0,773";"96";"0,867";"0,724";"0,737";3533908
"Onda Verde";"1991";"0,47";"442";"0,731";"0,228";"0,621";3534005
"Onda Verde";"2000";"0,615";"482";"0,784";"0,47";"0,63";3534005
"Onda Verde";"2010";"0,738";"321";"0,863";"0,671";"0,693";3534005
"Oriente";"1991";"0,526";"188";"0,753";"0,316";"0,61";3534104
"Oriente";"2000";"0,667";"196";"0,778";"0,572";"0,667";3534104
"Oriente";"2010";"0,77";"110";"0,837";"0,761";"0,717";3534104
"Orindiúva";"1991";"0,535";"159";"0,685";"0,336";"0,666";3534203
"Orindiúva";"2000";"0,669";"181";"0,773";"0,564";"0,687";3534203
"Orindiúva";"2010";"0,767";"127";"0,824";"0,762";"0,719";3534203
"Orlândia";"1991";"0,578";"44";"0,767";"0,363";"0,694";3534302
"Orlândia";"2000";"0,701";"71";"0,823";"0,587";"0,714";3534302
"Orlândia";"2010";"0,78";"66";"0,882";"0,703";"0,765";3534302
"Osasco";"1991";"0,572";"57";"0,747";"0,351";"0,714";3534401
"Osasco";"2000";"0,706";"53";"0,806";"0,592";"0,736";3534401
"Osasco";"2010";"0,776";"83";"0,84";"0,718";"0,776";3534401
"Oscar Bressane";"1991";"0,496";"321";"0,729";"0,281";"0,597";3534500
"Oscar Bressane";"2000";"0,684";"136";"0,765";"0,617";"0,678";3534500
"Oscar Bressane";"2010";"0,749";"236";"0,823";"0,715";"0,713";3534500
"Osvaldo Cruz";"1991";"0,581";"37";"0,742";"0,406";"0,651";3534609
"Osvaldo Cruz";"2000";"0,705";"57";"0,789";"0,633";"0,701";3534609
"Osvaldo Cruz";"2010";"0,762";"151";"0,837";"0,713";"0,74";3534609
"Ourinhos";"1991";"0,57";"61";"0,761";"0,363";"0,672";3534708
"Ourinhos";"2000";"0,696";"92";"0,815";"0,58";"0,712";3534708
"Ourinhos";"2010";"0,778";"75";"0,859";"0,727";"0,753";3534708
"Ouro Verde";"1991";"0,407";"601";"0,688";"0,173";"0,565";3534807
"Ouro Verde";"2000";"0,578";"596";"0,746";"0,458";"0,566";3534807
"Ouro Verde";"2010";"0,692";"606";"0,814";"0,612";"0,666";3534807
"Ouroeste";"1991";"0,499";"311";"0,703";"0,284";"0,621";3534757
"Ouroeste";"2000";"0,668";"189";"0,786";"0,575";"0,661";3534757
"Ouroeste";"2010";"0,77";"110";"0,866";"0,736";"0,717";3534757
"Pacaembu";"1991";"0,517";"229";"0,731";"0,307";"0,614";3534906
"Pacaembu";"2000";"0,66";"239";"0,782";"0,561";"0,655";3534906
"Pacaembu";"2010";"0,725";"430";"0,843";"0,631";"0,717";3534906
"Palestina";"1991";"0,517";"229";"0,748";"0,284";"0,652";3535002
"Palestina";"2000";"0,635";"371";"0,766";"0,509";"0,656";3535002
"Palestina";"2010";"0,732";"370";"0,848";"0,645";"0,717";3535002
"Palmares Paulista";"1991";"0,433";"560";"0,728";"0,17";"0,656";3535101
"Palmares Paulista";"2000";"0,574";"604";"0,746";"0,4";"0,635";3535101
"Palmares Paulista";"2010";"0,722";"452";"0,837";"0,645";"0,698";3535101
"Palmeira d'Oeste";"1991";"0,48";"406";"0,693";"0,253";"0,629";3535200
"Palmeira d'Oeste";"2000";"0,653";"275";"0,787";"0,542";"0,653";3535200
"Palmeira d'Oeste";"2010";"0,753";"207";"0,829";"0,714";"0,72";3535200
"Palmital";"1991";"0,501";"302";"0,685";"0,291";"0,629";3535309
"Palmital";"2000";"0,671";"176";"0,772";"0,53";"0,739";3535309
"Palmital";"2010";"0,746";"260";"0,814";"0,702";"0,727";3535309
"Panorama";"1991";"0,469";"447";"0,695";"0,241";"0,617";3535408
"Panorama";"2000";"0,635";"371";"0,787";"0,474";"0,688";3535408
"Panorama";"2010";"0,722";"452";"0,814";"0,639";"0,724";3535408
"Paraguaçu Paulista";"1991";"0,539";"147";"0,706";"0,346";"0,64";3535507
"Paraguaçu Paulista";"2000";"0,663";"224";"0,754";"0,57";"0,678";3535507
"Paraguaçu Paulista";"2010";"0,762";"151";"0,836";"0,739";"0,717";3535507
"Paraibuna";"1991";"0,418";"588";"0,685";"0,174";"0,613";3535606
"Paraibuna";"2000";"0,623";"439";"0,782";"0,467";"0,661";3535606
"Paraibuna";"2010";"0,719";"476";"0,815";"0,642";"0,709";3535606
"Paraíso";"1991";"0,513";"253";"0,737";"0,278";"0,658";3535705
"Paraíso";"2000";"0,631";"398";"0,832";"0,464";"0,65";3535705
"Paraíso";"2010";"0,749";"236";"0,837";"0,668";"0,751";3535705
"Paranapanema";"1991";"0,45";"505";"0,669";"0,222";"0,615";3535804
"Paranapanema";"2000";"0,613";"488";"0,773";"0,446";"0,669";3535804
"Paranapanema";"2010";"0,717";"494";"0,839";"0,631";"0,697";3535804
"Paranapuã";"1991";"0,493";"334";"0,742";"0,272";"0,595";3535903
"Paranapuã";"2000";"0,644";"318";"0,778";"0,526";"0,652";3535903
"Paranapuã";"2010";"0,732";"370";"0,842";"0,655";"0,712";3535903
"Parapuã";"1991";"0,492";"344";"0,723";"0,282";"0,585";3536000
"Parapuã";"2000";"0,625";"433";"0,802";"0,478";"0,636";3536000
"Parapuã";"2010";"0,737";"330";"0,83";"0,696";"0,693";3536000
"Pardinho";"1991";"0,4";"611";"0,71";"0,149";"0,607";3536109
"Pardinho";"2000";"0,627";"422";"0,798";"0,467";"0,662";3536109
"Pardinho";"2010";"0,727";"418";"0,821";"0,652";"0,718";3536109
"Pariquera-Açu";"1991";"0,49";"352";"0,703";"0,276";"0,606";3536208
"Pariquera-Açu";"2000";"0,623";"439";"0,793";"0,466";"0,655";3536208
"Pariquera-Açu";"2010";"0,736";"339";"0,862";"0,678";"0,682";3536208
"Parisi";"1991";"0,459";"480";"0,675";"0,279";"0,513";3536257
"Parisi";"2000";"0,646";"299";"0,764";"0,569";"0,619";3536257
"Parisi";"2010";"0,721";"460";"0,842";"0,619";"0,72";3536257
"Patrocínio Paulista";"1991";"0,481";"400";"0,724";"0,245";"0,627";3536307
"Patrocínio Paulista";"2000";"0,658";"246";"0,802";"0,529";"0,673";3536307
"Patrocínio Paulista";"2010";"0,73";"388";"0,826";"0,678";"0,696";3536307
"Paulicéia";"1991";"0,422";"581";"0,671";"0,194";"0,576";3536406
"Paulicéia";"2000";"0,603";"528";"0,755";"0,452";"0,644";3536406
"Paulicéia";"2010";"0,711";"528";"0,811";"0,64";"0,692";3536406
"Paulínia";"1991";"0,597";"25";"0,765";"0,388";"0,718";3536505
"Paulínia";"2000";"0,722";"30";"0,804";"0,603";"0,776";3536505
"Paulínia";"2010";"0,795";"31";"0,864";"0,727";"0,8";3536505
"Paulistânia";"1991";"0,451";"503";"0,725";"0,218";"0,582";3536570
"Paulistânia";"2000";"0,63";"404";"0,775";"0,493";"0,656";3536570
"Paulistânia";"2010";"0,718";"489";"0,817";"0,663";"0,683";3536570
"Paulo de Faria";"1991";"0,505";"285";"0,683";"0,292";"0,644";3536604
"Paulo de Faria";"2000";"0,643";"328";"0,749";"0,525";"0,675";3536604
"Paulo de Faria";"2010";"0,725";"430";"0,8";"0,662";"0,721";3536604
"Pederneiras";"1991";"0,525";"193";"0,703";"0,302";"0,681";3536703
"Pederneiras";"2000";"0,663";"224";"0,793";"0,548";"0,671";3536703
"Pederneiras";"2010";"0,739";"314";"0,812";"0,673";"0,738";3536703
"Pedra Bela";"1991";"0,377";"622";"0,659";"0,146";"0,559";3536802
"Pedra Bela";"2000";"0,548";"627";"0,755";"0,353";"0,618";3536802
"Pedra Bela";"2010";"0,677";"628";"0,796";"0,581";"0,671";3536802
"Pedranópolis";"1991";"0,526";"188";"0,77";"0,322";"0,588";3536901
"Pedranópolis";"2000";"0,611";"499";"0,787";"0,48";"0,603";3536901
"Pedranópolis";"2010";"0,742";"290";"0,854";"0,684";"0,698";3536901
"Pedregulho";"1991";"0,508";"271";"0,711";"0,289";"0,639";3537008
"Pedregulho";"2000";"0,626";"427";"0,79";"0,473";"0,655";3537008
"Pedregulho";"2010";"0,715";"502";"0,82";"0,623";"0,716";3537008
"Pedreira";"1991";"0,551";"112";"0,757";"0,315";"0,703";3537107
"Pedreira";"2000";"0,667";"196";"0,836";"0,492";"0,722";3537107
"Pedreira";"2010";"0,769";"115";"0,864";"0,701";"0,75";3537107
"Pedrinhas Paulista";"1991";"0,594";"28";"0,749";"0,412";"0,68";3537156
"Pedrinhas Paulista";"2000";"0,73";"24";"0,832";"0,656";"0,713";3537156
"Pedrinhas Paulista";"2010";"0,774";"92";"0,837";"0,739";"0,749";3537156
"Pedro de Toledo";"1991";"0,465";"460";"0,687";"0,246";"0,594";3537206
"Pedro de Toledo";"2000";"0,595";"557";"0,716";"0,456";"0,644";3537206
"Pedro de Toledo";"2010";"0,696";"596";"0,812";"0,634";"0,654";3537206
"Penápolis";"1991";"0,539";"147";"0,709";"0,331";"0,666";3537305
"Penápolis";"2000";"0,686";"127";"0,806";"0,556";"0,721";3537305
"Penápolis";"2010";"0,759";"169";"0,859";"0,68";"0,748";3537305
"Pereira Barreto";"1991";"0,545";"127";"0,743";"0,332";"0,655";3537404
"Pereira Barreto";"2000";"0,664";"216";"0,771";"0,568";"0,669";3537404
"Pereira Barreto";"2010";"0,766";"131";"0,845";"0,732";"0,728";3537404
"Pereiras";"1991";"0,527";"184";"0,718";"0,315";"0,648";3537503
"Pereiras";"2000";"0,648";"293";"0,814";"0,487";"0,687";3537503
"Pereiras";"2010";"0,736";"339";"0,873";"0,637";"0,717";3537503
"Peruíbe";"1991";"0,493";"334";"0,675";"0,261";"0,681";3537602
"Peruíbe";"2000";"0,655";"264";"0,759";"0,527";"0,702";3537602
"Peruíbe";"2010";"0,749";"236";"0,854";"0,675";"0,73";3537602
"Piacatu";"1991";"0,493";"334";"0,721";"0,294";"0,566";3537701
"Piacatu";"2000";"0,644";"318";"0,741";"0,562";"0,641";3537701
"Piacatu";"2010";"0,732";"370";"0,843";"0,684";"0,681";3537701
"Piedade";"1991";"0,448";"514";"0,677";"0,217";"0,611";3537800
"Piedade";"2000";"0,617";"473";"0,772";"0,447";"0,68";3537800
"Piedade";"2010";"0,716";"500";"0,848";"0,624";"0,694";3537800
"Pilar do Sul";"1991";"0,438";"545";"0,677";"0,195";"0,637";3537909
"Pilar do Sul";"2000";"0,623";"439";"0,74";"0,498";"0,655";3537909
"Pilar do Sul";"2010";"0,69";"608";"0,82";"0,594";"0,674";3537909
"Pindamonhangaba";"1991";"0,549";"118";"0,708";"0,35";"0,669";3538006
"Pindamonhangaba";"2000";"0,694";"96";"0,809";"0,583";"0,71";3538006
"Pindamonhangaba";"2010";"0,773";"96";"0,843";"0,736";"0,745";3538006
"Pindorama";"1991";"0,523";"202";"0,751";"0,293";"0,649";3538105
"Pindorama";"2000";"0,645";"310";"0,802";"0,499";"0,67";3538105
"Pindorama";"2010";"0,737";"330";"0,842";"0,654";"0,726";3538105
"Pinhalzinho";"1991";"0,445";"525";"0,729";"0,185";"0,652";3538204
"Pinhalzinho";"2000";"0,613";"488";"0,77";"0,446";"0,67";3538204
"Pinhalzinho";"2010";"0,725";"430";"0,808";"0,666";"0,707";3538204
"Piquerobi";"1991";"0,453";"498";"0,72";"0,225";"0,572";3538303
"Piquerobi";"2000";"0,619";"461";"0,758";"0,492";"0,637";3538303
"Piquerobi";"2010";"0,711";"528";"0,836";"0,644";"0,669";3538303
"Piquete";"1991";"0,563";"76";"0,709";"0,384";"0,656";3538501
"Piquete";"2000";"0,69";"107";"0,798";"0,6";"0,685";3538501
"Piquete";"2010";"0,757";"182";"0,823";"0,74";"0,711";3538501
"Piracaia";"1991";"0,461";"473";"0,734";"0,198";"0,674";3538600
"Piracaia";"2000";"0,62";"456";"0,782";"0,442";"0,689";3538600
"Piracaia";"2010";"0,739";"314";"0,851";"0,625";"0,758";3538600
"Piracicaba";"1991";"0,58";"40";"0,751";"0,36";"0,722";3538709
"Piracicaba";"2000";"0,71";"48";"0,81";"0,581";"0,759";3538709
"Piracicaba";"2010";"0,785";"50";"0,848";"0,717";"0,797";3538709
"Piraju";"1991";"0,515";"240";"0,667";"0,316";"0,648";3538808
"Piraju";"2000";"0,667";"196";"0,762";"0,552";"0,704";3538808
"Piraju";"2010";"0,758";"177";"0,843";"0,699";"0,74";3538808
"Pirajuí";"1991";"0,534";"162";"0,748";"0,33";"0,618";3538907
"Pirajuí";"2000";"0,669";"181";"0,838";"0,529";"0,675";3538907
"Pirajuí";"2010";"0,749";"236";"0,853";"0,672";"0,734";3538907
"Pirangi";"1991";"0,541";"139";"0,744";"0,304";"0,702";3539004
"Pirangi";"2000";"0,674";"166";"0,82";"0,52";"0,717";3539004
"Pirangi";"2010";"0,756";"188";"0,837";"0,701";"0,735";3539004
"Pirapora do Bom Jesus";"1991";"0,423";"580";"0,712";"0,172";"0,616";3539103
"Pirapora do Bom Jesus";"2000";"0,621";"448";"0,758";"0,48";"0,659";3539103
"Pirapora do Bom Jesus";"2010";"0,727";"418";"0,81";"0,698";"0,679";3539103
"Pirapozinho";"1991";"0,52";"216";"0,719";"0,309";"0,634";3539202
"Pirapozinho";"2000";"0,668";"189";"0,778";"0,556";"0,69";3539202
"Pirapozinho";"2010";"0,776";"83";"0,863";"0,733";"0,74";3539202
"Pirassununga";"1991";"0,602";"19";"0,742";"0,412";"0,714";3539301
"Pirassununga";"2000";"0,715";"43";"0,817";"0,607";"0,738";3539301
"Pirassununga";"2010";"0,801";"20";"0,884";"0,736";"0,789";3539301
"Piratininga";"1991";"0,567";"67";"0,74";"0,347";"0,709";3539400
"Piratininga";"2000";"0,683";"138";"0,806";"0,553";"0,716";3539400
"Piratininga";"2010";"0,779";"73";"0,859";"0,723";"0,762";3539400
"Pitangueiras";"1991";"0,498";"315";"0,717";"0,263";"0,653";3539509
"Pitangueiras";"2000";"0,627";"422";"0,765";"0,486";"0,663";3539509
"Pitangueiras";"2010";"0,723";"446";"0,83";"0,651";"0,699";3539509
"Planalto";"1991";"0,479";"414";"0,728";"0,256";"0,589";3539608
"Planalto";"2000";"0,605";"522";"0,762";"0,426";"0,683";3539608
"Planalto";"2010";"0,719";"476";"0,853";"0,639";"0,683";3539608
"Platina";"1991";"0,421";"582";"0,68";"0,202";"0,545";3539707
"Platina";"2000";"0,564";"619";"0,746";"0,392";"0,614";3539707
"Platina";"2010";"0,719";"476";"0,824";"0,652";"0,691";3539707
"Poá";"1991";"0,534";"162";"0,746";"0,309";"0,661";3539806
"Poá";"2000";"0,699";"83";"0,785";"0,624";"0,697";3539806
"Poá";"2010";"0,771";"107";"0,856";"0,754";"0,71";3539806
"Poloni";"1991";"0,571";"59";"0,759";"0,37";"0,663";3539905
"Poloni";"2000";"0,7";"78";"0,817";"0,604";"0,695";3539905
"Poloni";"2010";"0,766";"131";"0,853";"0,717";"0,736";3539905
"Pompéia";"1991";"0,55";"114";"0,742";"0,359";"0,623";3540002
"Pompéia";"2000";"0,719";"35";"0,833";"0,639";"0,699";3540002
"Pompéia";"2010";"0,786";"47";"0,864";"0,748";"0,75";3540002
"Pongaí";"1991";"0,512";"261";"0,725";"0,312";"0,592";3540101
"Pongaí";"2000";"0,669";"181";"0,792";"0,545";"0,694";3540101
"Pongaí";"2010";"0,755";"195";"0,844";"0,701";"0,727";3540101
"Pontal";"1991";"0,49";"352";"0,728";"0,244";"0,661";3540200
"Pontal";"2000";"0,595";"557";"0,757";"0,387";"0,72";3540200
"Pontal";"2010";"0,725";"430";"0,838";"0,633";"0,718";3540200
"Pontalinda";"1991";"0,426";"576";"0,689";"0,206";"0,546";3540259
"Pontalinda";"2000";"0,602";"533";"0,782";"0,499";"0,56";3540259
"Pontalinda";"2010";"0,702";"574";"0,847";"0,604";"0,677";3540259
"Pontes Gestal";"1991";"0,481";"400";"0,675";"0,312";"0,53";3540309
"Pontes Gestal";"2000";"0,621";"448";"0,743";"0,508";"0,634";3540309
"Pontes Gestal";"2010";"0,732";"370";"0,805";"0,69";"0,705";3540309
"Populina";"1991";"0,497";"319";"0,741";"0,277";"0,597";3540408
"Populina";"2000";"0,601";"539";"0,759";"0,461";"0,619";3540408
"Populina";"2010";"0,714";"509";"0,804";"0,647";"0,699";3540408
"Porangaba";"1991";"0,484";"380";"0,704";"0,273";"0,589";3540507
"Porangaba";"2000";"0,619";"461";"0,812";"0,448";"0,652";3540507
"Porangaba";"2010";"0,703";"565";"0,864";"0,578";"0,696";3540507
"Porto Feliz";"1991";"0,512";"261";"0,751";"0,269";"0,666";3540606
"Porto Feliz";"2000";"0,646";"299";"0,777";"0,505";"0,687";3540606
"Porto Feliz";"2010";"0,758";"177";"0,836";"0,706";"0,737";3540606
"Porto Ferreira";"1991";"0,567";"67";"0,719";"0,375";"0,675";3540705
"Porto Ferreira";"2000";"0,688";"114";"0,773";"0,594";"0,71";3540705
"Porto Ferreira";"2010";"0,751";"219";"0,827";"0,696";"0,736";3540705
"Potim";"1991";"0,461";"473";"0,684";"0,246";"0,584";3540754
"Potim";"2000";"0,6";"542";"0,724";"0,485";"0,616";3540754
"Potim";"2010";"0,697";"590";"0,806";"0,646";"0,651";3540754
"Potirendaba";"1991";"0,523";"202";"0,748";"0,301";"0,635";3540804
"Potirendaba";"2000";"0,674";"166";"0,811";"0,543";"0,694";3540804
"Potirendaba";"2010";"0,747";"252";"0,857";"0,661";"0,737";3540804
"Pracinha";"1991";"0,317";"640";"0,68";"0,095";"0,494";3540853
"Pracinha";"2000";"0,57";"616";"0,776";"0,438";"0,546";3540853
"Pracinha";"2010";"0,696";"596";"0,814";"0,629";"0,658";3540853
"Pradópolis";"1991";"0,558";"91";"0,719";"0,36";"0,67";3540903
"Pradópolis";"2000";"0,644";"318";"0,746";"0,523";"0,686";3540903
"Pradópolis";"2010";"0,733";"362";"0,822";"0,65";"0,738";3540903
"Praia Grande";"1991";"0,538";"152";"0,688";"0,336";"0,674";3541000
"Praia Grande";"2000";"0,686";"127";"0,801";"0,551";"0,732";3541000
"Praia Grande";"2010";"0,754";"199";"0,834";"0,692";"0,744";3541000
"Pratânia";"1991";"0,458";"483";"0,658";"0,245";"0,595";3541059
"Pratânia";"2000";"0,621";"448";"0,754";"0,462";"0,688";3541059
